domain,country
10099.com.cn,China
126.com,China
163.com,China
163.net,China
189.cn,China
263.net,China
3genesis.com,United States
3gpp.org,international
3in.org,China
5gtbiitm.in,India
5nord.de,Germany
7layers.de,Germany
aal.siemens.dk,Denmark
aalto.fi,Finland
aalyria.com,United States
ac.upc.edu,Spain
accenture.com,Ireland
acm.org,United States
actcom.co.il,Israel
adare.de,Germany
admin.iscas.ac.cn,China
adobe.com,United States
aegean.gr,Greece
aenor.es,Spain
aeroflex.com,United States
afnor.org,France
agd.gov.au,Australia
agentschaptelecom.nl,Netherlands
agentura-cas.cz,Czech Republic
agilent.com,United States
aioti.eu,European Union
airbiquity.com,United States
airbus.com,France
aircom.co.za,South Africa
airtel.com,India
airtel.es,Spain
ait.ac.at,Austria
ait.gr,Greece
aj.jp.nec.com,Japan
alcatel-lucent.com,France
alcatel-lucent.fr,France
alcatel-sbell.com.cn,China
alcatel.com,France
alcatel.de,Germany
alcatel.fr,France
aldiscon.ie,Ireland
alibaba-inc.com,China
alice.it,Italy
allgon.se,Sweden
allianz.com,Germany
allot.com,Israel
alticelabs.com,Portugal
am.exch.agilent.com,United States
am1.ericsson.se,Sweden
amazon.com,United States
amdocs.com,United States
anakyn.be,Belgium
andrew.com,United States
anemonetechnology.com,Denmark
anet.com,United States
anfr.fr,France
anite.com,United Kingdom
anitetelecoms.com,United States
anritsu.com,Japan
anterix.com,United States
aol.com,United States
ap.jp.nec.com,Japan
appcomsci.com,United States
apple.com,United States
applus.com,Spain
aqsacom.com,France
arib.or.jp,Japan
aricent.com,United States
arm.com,United Kingdom
arris.com,United States
art.alcatel.fr,France
artemis-ia.eu,European Union
arthurslegal.com,Netherlands
ascertia.com,United Kingdom
ascom.ch,Switzerland
asiainfo.com,China
asro.ro,Romania
assistedhome.de,Germany
aston.ac.uk,United Kingdom
astri.org,Hong Kong
astrum-mobile.com,Singapore
asus.com,Taiwan
asus.com.tw,Taiwan
asut.ch,Switzerland
at4wireless.com,Spain
ateme.com,France
atis.org,United States
atos.net,France
atr.jp,Japan
att.com,United States
attglobal.net,United States
attws.com,United States
audi.de,Germany
australiamail.com,Austria
austrian-standards.at,Austria
ausystem.com,Sweden
avm.de,Germany
ax.jp.nec.com,Japan
axalto.com,France
axilian.co.uk,United Kingdom
azimuthsystems.com,United States
baesystems.com,United Kingdom
bakom.admin.ch,Switzerland
bandwidth.com,United States
bapco.org.uk,United Kingdom
bas.gov.ba,Bosnia and Herzegovina
bassiconsulting.eu,European Union
bbc.co.uk,United Kingdom
bdbos.bmi.bund.de,Germany
bdbos.bund.de,Germany
be.ibm.com,United States
beammwave.com,Sweden
bell.ca,Canada
bijitec.com,Singapore
biosency.com,France
bis.gsi.gov.uk,United Kingdom
bjo.ericsson.se,Sweden
bk.jp.nec.com,Japan
bk.mitsubishielectric.co.jp,Japan
bka.bund.de,Germany
blackberry.com,Canada
bln1.siemens.de,Germany
bluetest.se,Sweden
bnetza.de,Germany
boulder.nist.gov,United States
bouyguestelecom.fr,France
bradford.ac.uk,United Kingdom
brandcomms.com,United Kingdom
broadbit.com,Finland
broadcom.com,United States
